RTT,Hora
10,15:30:05,
0,15:30:06,
18,15:30:06,
26,15:30:06,
6,15:30:07,
7,15:30:07,
18,15:30:08,
1,15:30:08,
18,15:30:08,
9,15:30:09,
9,15:30:09,
1,15:30:10,
1,15:30:10,
1,15:30:10,
5,15:30:11,
13,15:30:11,
18,15:30:12,
25,15:30:12,
18,15:30:12,
9,15:30:13,
10,15:30:13,
8,15:30:14,
1,15:30:14,
26,15:30:14,
16,15:30:15,
16,15:30:15,
18,15:30:16,
1,15:30:16,
18,15:30:16,
8,15:30:17,
10,15:30:17,
26,15:30:18,
18,15:30:18,
25,15:30:18,
4,15:30:19,
13,15:30:19,
18,15:30:20,
26,15:30:20,
18,15:30:20,
5,15:30:21,
10,15:30:21,
1,15:30:22,
18,15:30:22,
25,15:30:22,
19,15:30:23,
17,15:30:23,
18,15:30:24,
1,15:30:24,
18,15:30:24,
8,15:30:25,
24,15:30:25,
25,15:30:26,
18,15:30:26,
25,15:30:26,
4,15:30:27,
4,15:30:27,
18,15:30:28,
11,15:30:28,
18,15:30:28,
8,15:30:29,
17,15:30:29,
25,15:30:30,
18,15:30:30,
26,15:30:30,
4,15:30:31,
7,15:30:31,
18,15:30:32,
0,15:30:32,
18,15:30:32,
11,15:30:33,
24,15:30:33,
26,15:30:34,
18,15:30:34,
11,15:30:34,
12,15:30:35,
15,15:30:35,
14,15:30:36,
9,15:30:36,
14,15:30:36,
8,15:30:37,
10,15:30:37,
25,15:30:38,
18,15:30:38,
25,15:30:38,
5,15:30:39,
6,15:30:39,
18,15:30:40,
0,15:30:40,
18,15:30:40,
5,15:30:41,
25,15:30:41,
1,15:30:42,
18,15:30:42,
25,15:30:42,
4,15:30:43,
14,15:30:43,
18,15:30:44,
25,15:30:44,
19,15:30:44,
5,15:30:45,
25,15:30:45,
26,15:30:46,
1,15:30:46,
26,15:30:47,
4,15:30:47,
15,15:30:47,
18,15:30:48,
26,15:30:48,
18,15:30:49,
19,15:30:49,
17,15:30:49,
25,15:30:50,
18,15:30:50,
26,15:30:51,
5,15:30:51,
1,15:30:51,
18,15:30:52,
1,15:30:52,
18,15:30:53,
19,15:30:53,
2,15:30:53,
25,15:30:54,
18,15:30:54,
8,15:30:55,
4,15:30:55,
15,15:30:55,
18,15:30:56,
25,15:30:56,
18,15:30:57,
3,15:30:57,
11,15:30:57,
16,15:30:58,
12,15:30:58,
22,15:30:59,
15,15:30:59,
9,15:30:59,
25,15:31:00,
22,15:31:00,
25,15:31:01,
4,15:31:01,
17,15:31:01,
22,15:31:02,
25,15:31:02,
22,15:31:03,
16,15:31:03,
3,15:31:03,
14,15:31:04,
10,15:31:04,
14,15:31:05,
8,15:31:05,
10,15:31:05,
25,15:31:06,
18,15:31:06,
9,15:31:07,
19,15:31:07,
4,15:31:07,
18,15:31:08,
25,15:31:08,
18,15:31:09,
8,15:31:09,
24,15:31:09,
0,15:31:10,
18,15:31:10,
0,15:31:11,
4,15:31:11,
3,15:31:11,
18,15:31:12,
1,15:31:12,
18,15:31:13,
9,15:31:13,
17,15:31:13,
25,15:31:14,
18,15:31:14,
0,15:31:15,
19,15:31:15,
3,15:31:15,
9,15:31:16,
2,15:31:16,
25,15:31:17,
13,15:31:17,
6,15:31:17,
20,15:31:18,
0,15:31:18,
19,15:31:19,
15,15:31:19,
13,15:31:19,
10,15:31:20,
22,15:31:20,
0,15:31:21,
5,15:31:21,
15,15:31:21,
22,15:31:22,
26,15:31:22,
22,15:31:23,
15,15:31:23,
1,15:31:23,
24,15:31:24,
17,15:31:24,
19,15:31:25,
8,15:31:25,
24,15:31:25,
0,15:31:26,
18,15:31:26,
25,15:31:27,
5,15:31:27,
15,15:31:27,
18,15:31:28,
0,15:31:28,
18,15:31:29,
8,15:31:29,
11,15:31:29,
25,15:31:30,
18,15:31:30,
26,15:31:31,
19,15:31:31,
13,15:31:31,
18,15:31:32,
25,15:31:32,
10,15:31:32,
20,15:31:33,
24,15:31:33,
1,15:31:34,
18,15:31:34,
19,15:31:34,
1,15:31:35,
4,15:31:35,
25,15:31:36,
22,15:31:36,
0,15:31:37,
4,15:31:37,
15,15:31:37,
22,15:31:38,
26,15:31:38,
21,15:31:39,
7,15:31:39,
2,15:31:39,
26,15:31:40,
4,15:31:40,
24,15:31:40,
1,15:31:41,
10,15:31:41,
11,15:31:42,
1,15:31:42,
10,15:31:43,
5,15:31:43,
15,15:31:43,
18,15:31:44,
0,15:31:44,
18,15:31:45,
25,15:31:45,
