RTT,Hora
11,22:44:17,
25,22:44:19,
8,22:44:21,
25,22:44:23,
8,22:44:25,
20,22:44:27,
7,22:44:29,
19,22:44:31,
8,22:44:33,
19,22:44:35,
11,22:44:37,
18,22:44:39,
8,22:44:41,
19,22:44:43,
8,22:44:45,
19,22:44:47,
10,22:44:49,
19,22:44:51,
8,22:44:53,
18,22:44:55,
11,22:44:57,
18,22:44:59,
8,22:45:01,
18,22:45:03,
8,22:45:05,
18,22:45:07,
8,22:45:09,
18,22:45:11,
8,22:45:13,
25,22:45:15,
4,22:45:17,
25,22:45:19,
8,22:45:21,
25,22:45:23,
8,22:45:25,
25,22:45:27,
7,22:45:29,
18,22:45:31,
8,22:45:33,
18,22:45:35,
11,22:45:37,
18,22:45:39,
8,22:45:41,
18,22:45:43,
16,22:45:45,
18,22:45:47,
10,22:45:49,
18,22:45:51,
8,22:45:53,
18,22:45:55,
7,22:53:11,
7,22:53:12,
7,22:53:12,
7,22:53:12,
7,22:53:13,
7,22:53:13,
7,22:53:14,
7,22:53:14,
11,22:53:17,
18,22:53:19,
8,22:53:21,
19,22:53:23,
8,22:53:25,
18,22:53:27,
8,22:53:29,
18,22:53:31,
8,22:53:33,
18,22:53:35,
11,22:53:37,
18,22:53:39,
8,22:53:41,
14,00:08:56,
10,00:08:56,
22,00:08:57,
5,00:08:57,
1,00:08:58,
15,00:08:58,
9,00:08:58,
5,00:08:59,
24,00:08:59,
6,00:09:00,
14,00:09:00,
8,00:09:00,
24,00:09:01,
25,00:09:01,
25,00:09:02,
18,00:09:02,
8,00:09:03,
24,00:09:03,
13,00:09:03,
5,00:09:04,
12,00:09:04,
11,00:09:05,
5,00:09:05,
5,00:09:05,
3,00:09:06,
11,00:09:06,
9,00:09:07,
5,00:09:07,
15,00:09:07,
25,00:09:08,
19,00:09:08,
19,00:09:09,
21,00:09:09,
18,00:09:10,
20,00:09:10,
17,00:09:10,
8,00:09:11,
13,00:09:11,
5,00:09:12,
0,00:09:12,
17,00:09:12,
21,00:09:13,
4,00:09:13,
7,00:09:14,
2,00:09:14,
21,00:09:14,
3,00:09:15,
23,00:09:15,
2,00:09:16,
5,00:09:16,
3,00:10:21,
3,00:10:21,
3,00:10:21,
3,00:10:21,
3,00:10:21,
3,00:10:22,
3,00:10:22,
3,00:10:22,
3,00:10:22,
3,00:10:22,
3,00:10:23,
3,00:10:23,
3,00:10:23,
3,00:10:23,
3,00:10:23,
3,00:10:24,
3,00:10:24,
3,00:10:24,
3,00:10:24,
3,00:10:24,
3,00:10:25,
3,00:10:25,
3,00:10:25,
3,00:10:25,
3,00:10:25,
3,00:10:26,
3,00:10:26,
3,00:10:26,
3,00:10:26,
3,00:10:26,
3,00:10:27,
3,00:10:27,
21,00:10:28,
21,00:10:28,
21,00:10:28,
21,00:10:28,
21,00:10:29,
0,00:10:30,
9,00:10:30,
15,00:10:31,
7,00:10:31,
22,00:10:31,
0,00:10:32,
9,00:10:32,
20,00:10:33,
25,00:10:33,
23,00:10:33,
3,00:10:34,
22,00:10:34,
21,00:10:35,
20,00:10:35,
5,00:10:35,
0,00:10:36,
5,00:10:36,
16,00:10:37,
5,00:10:37,
20,00:10:38,
25,00:10:38,
24,00:10:38,
21,00:10:39,
7,00:10:39,
25,00:10:40,
23,00:10:40,
25,00:10:40,
21,00:10:41,
25,00:11:39,
25,00:11:39,
25,00:11:39,
25,00:11:39,
25,00:11:39,
25,00:11:40,
25,00:11:40,
25,00:11:40,
25,00:11:40,
25,00:11:40,
25,00:11:41,
25,00:11:41,
25,00:11:41,
25,00:11:41,
25,00:11:41,
25,00:11:42,
25,00:11:42,
25,00:11:42,
25,00:11:42,
25,00:11:42,
25,00:11:43,
25,00:11:43,
25,00:11:43,
25,00:11:43,
25,00:11:43,
25,00:11:44,
25,00:11:44,
25,00:11:44,
25,00:11:44,
25,00:11:44,
25,00:11:45,
25,00:11:45,
19,00:11:46,
19,00:11:46,
19,00:11:47,
19,00:11:47,
19,00:11:47,
17,00:11:48,
19,00:11:49,
3,00:11:51,
3,00:11:51,
3,00:11:51,
3,00:11:51,
3,00:11:51,
3,00:11:52,
3,00:11:52,
20,00:11:55,
6,00:11:56,
5,00:11:56,
5,00:11:56,
0,00:11:57,
20,00:11:57,
5,00:11:58,
5,00:11:58,
21,00:11:58,
6,00:11:59,
1,00:11:59,
3,00:12:00,
23,00:12:00,
2,00:12:00,
23,00:12:01,
21,00:12:01,
7,00:12:02,
3,00:12:02,
6,00:12:02,
3,00:12:03,
15,00:12:03,
5,00:12:04,
21,00:12:04,
5,00:12:04,
20,00:12:05,
21,00:12:05,
20,00:12:06,
25,00:12:06,
20,00:12:06,
5,00:12:07,
18,00:12:07,
3,00:12:28,
16,00:12:29,
16,00:12:29,
16,00:12:29,
16,00:12:30,
13,00:12:30,
13,00:12:30,
13,00:12:31,
13,00:12:31,
18,00:12:37,
18,00:12:37,
18,00:12:38,
18,00:12:38,
18,00:12:38,
22,00:12:39,
4,00:12:39,
24,00:12:39,
20,00:12:40,
24,00:12:40,
4,00:12:41,
7,00:12:41,
25,00:12:41,
12,00:12:42,
25,00:12:42,
7,00:12:43,
6,00:12:43,
5,00:12:43,
23,00:12:44,
17,00:12:44,
15,00:12:45,
5,00:12:45,
5,00:12:45,
19,00:12:46,
5,00:12:46,
